Genus,Metabolism,Silvatax_Genus,S_reduction,S_oxidation_dark,anoxygenic_photoautotrophy_S_oxidizing
Chlorobaculum,S_Oxidation_both,Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum,0,1,1
Chlorobium,Photo_S_Ox,Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium,0,0,1
Prosthecochloris,Photo_S_Ox,Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Prosthecochloris,0,0,1
Chloroherpeton,Photo_S_Ox,Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chloroherpetonaceae;Chloroherpeton,0,0,1
Arcobacter,S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter,0,1,0
Campylobacter,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,1,0,0
Wolinella,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Wolinella,1,0,0
Thiofractor,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Incertae_Sedis;Thiofractor,1,0,0
Nitratiruptor,S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Nitratiruptoraceae;Nitratiruptor,0,1,0
Sulfuricurvum,S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfuricurvum,0,1,0
Sulfurimonas,S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas,0,1,0
Thiovulum,S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Thiovulum,0,1,0
Sulfurospirillum,S_Reduction_S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum,1,1,0
Sulfurovum,S_Reduction_S_Oxidation,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum,1,1,0
Thioreductor,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Thioreductoraceae;Thioreductor,1,0,0
Caminibacter,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae;Caminibacter,1,0,0
Lebetimonas,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae;Lebetimonas,1,0,0
Nautilia,S_Reduction,Bacteria;Campylobacterota;Campylobacteria;Nautiliales;Nautiliaceae;Nautilia,1,0,0
Desulfurella,S_Reduction,Bacteria;Campylobacterota;Desulfurellia;Desulfurellales;Desulfurellaceae;Desulfurella,1,0,0
