get,Taxa
1011,Subgroup_6_or
1012,Subgroup_6_unclassified
1013,Subgroup_7
1014,Subgroup_9
1015,Subgroup_9_or
1016,Subgroup_11
1017,Subgroup_11_or
1018,Subgroup_12
1019,Subgroup_13
1020,Subgroup_15
1021,Subgroup_15_or
1022,Subgroup_17
1023,Subgroup_17_or
1024,Subgroup_18
1025,Subgroup_18_or
1026,Subgroup_19
1027,Subgroup_19_or
1028,Subgroup_20
1029,Subgroup_20_or
1030,Subgroup_21
1031,Subgroup_21_or
1032,Subgroup_22
1033,Subgroup_22_or
1034,Subgroup_25
1035,Subgroup_25_or
1036,Subgroup_26
1037,Subgroup_26_or
1038,Sulfobacillales
1039,Sulfobacillia
1040,Sulfolobales
1041,Sumerlaeales
1042,Sumerlaeia
1043,Sumerlaeota
1044,Sva0485
1045,Sva0485_cl
1046,Sva0485_or
1047,Symbiobacteriales
1048,Symbiobacteriia
1049,Synechococcales
1050,Synergistales
1051,Synergistetes
1052,Synergistia
1053,Synergistota
1054,Syntrophales
1055,Syntrophia
1056,Syntrophobacterales
1057,Syntrophobacteria
1058,Syntrophomonadales
1059,Syntrophomonadia
1060,Syntrophorhabdales
1061,Syntrophorhabdia
1062,SZB30
1063,SZB50
1064,t0.6.f
1065,TA06
1066,TA06_cl
1067,TA06_or
1068,TDNP-Wbc97-11-7-16
1069,Tenderiales
1070,Tenericutes
1071,Tepidisphaerales
1072,Thalassobaculales
1073,Thaumarchaeota
1074,Thermacetogenia
1075,Thermacetogeniales
1076,Thermaerobacterales
1077,Thermaerobacteria
1078,Thermales
1079,Thermicanales
1080,Thermincolales
1081,Thermincolia
1082,Thermoactinomycetales
1083,Thermoanaerobacterales
1084,Thermoanaerobacteria
1085,Thermoanaerobaculales
1086,Thermoanaerobaculia
1087,Thermobaculales
1088,Thermococcales
1089,Thermococci
1090,Thermodesulfobacteria
1091,Thermodesulfobacteriales
1092,Thermodesulfobiales
1093,Thermodesulfobiia
1094,Thermodesulfobiota
1095,Thermodesulfovibrionales
1096,Thermodesulfovibrionia
1097,Thermoflexales
1098,Thermoleophilia
1099,Thermolithobacterales
1100,Thermomicrobiales
1101,Thermophilales
1102,Thermoplasmata
1103,Thermoplasmata_or
1104,Thermoplasmata_unclassified
1105,Thermoplasmatales
1106,Thermoplasmatota
1107,Thermoplasmatota_cl
1108,Thermoplasmatota_or
1109,Thermoplasmatota_unclassified
1110,Thermoproteales
1111,Thermoprotei
1112,Thermosulfidibacterales
1113,Thermosulfidibacteria
1114,Thermosulfidibacterota
1115,Thermosynechococcales
1116,Thermotogae
1117,Thermotogae_or
1118,Thermotogales
1119,Thermotogota
1120,Thermovenabulales
1121,Thermovenabulia
1122,Thiohalorhabdales
1123,Thiomicrospirales
1124,Thiotrichales
1125,Tistrellales
1126,TK10
1127,TK10_or
1128,TK17
1129,TK17_or
1130,TSAC18
1131,TSAC18_or
1132,TSBb06
1133,TTA-B61
1134,TTA-B61_or
1135,UA11
1136,UASB-TL25
1137,UBA4486
1138,UBA9983
1139,UBA10353_marine_group
1140,uncultured
1141,uncultured_cl
1142,uncultured_or
