taxa,colors
Desulfuribacillales,#FF6832
Desulfurobacteriales,#66E1D3
Desulfurobacteriia,#CFCDAC
Desulfurococcales,#D0AC94
Desulfuromonadales,#7ED379
Desulfuromonadia,#012C58
Desulfuromonadia_or,#7A7BFF
Dethiobacterales,#D68E01
Dethiobacteria,#353339
DG-20,#78AFA1
DG-56,#FEB2C6
DG-56_or,#75797C
Diapherotrites,#837393
Dictyoglomales,#943A4D
Dictyoglomia,#B5F4FF
Dictyoglomota,#D2DCD5
Diplorickettsiales,#9556BD
Dissulfuribacterales,#6A714A
Dissulfuribacteria,#001325
Dojkabacteria,#02525F
Dojkabacteria_or,#0AA3F7
Dongiales,#E98176
DS-100,#DBD5DD
DscP2,#5EBCD1
Dstr-E11,#3D4F44
DTB120,#7E6405
DTB120_cl,#02684E
DTB120_or,#962B75
DTU014,#8D8546
EC3,#9695C5
Ectothiorhodospirales,#E773CE
Edwardsbacteria,#D86A78
Edwardsbacteria_cl,#3E89BE
Edwardsbacteria_or,#CA834E
Elev-16S-1166,#518A87
Elev-1554,#5B113C
Elsterales,#55813B
Elusimicrobia,#E704C4
Elusimicrobia_unclassified,#00005F
Elusimicrobiales,#A97399
Elusimicrobiota,#4B8160
Elusimicrobiota_cl,#59738A
Elusimicrobiota_or,#FF5DA7
Elusimicrobiota_unclassified,#F7C9BF
Emcibacterales,#643127
Endomicrobia,#513A01
Endomicrobiales,#6B94AA
Enterobacterales,#51A058
Enterobacteriales,#A45B02
Entomoplasmatales,#1D1702
Entotheonellaeota,#E20027
Entotheonellales,#E7AB63
Entotheonellia,#4C6001
EPR3968-O8a-Bc78,#9C6966
Epsilonbacteraeota,#64547B
ER-E4-17,#97979E
Erysipelotrichales,#006A66
eub62A3,#391406
Eubacteriales,#F4D749
Eukaryota_unclassified,#0045D2
Euryarchaeota,#006C31
Euryarchaeota_unclassified,#DDB6D0
Eurycoccales,#7C6571
Euzebyales,#9FB2A4
EV818SWSAP88,#00D891
Exiguobacterales,#15A08A
F9P41300-M23,#BC65E9
FBP,#FFFFFE
FBP_cl,#C6DC99
FBP_or,#203B3C
FCPU426,#671190
FCPU426_cl,#6B3A64
FCPU426_or,#F5E1FF
Fermentibacterales,#FFA0F2
Fermentibacteria,#CCAA35
Fermentibacterota,#374527
Ferrovibrionales,#8BB400
Fervidibacteria,#797868
Fervidibacteria_cl,#C6005A
Fervidibacteria_or,#3B000A
Fervidicoccales,#C86240
FFCH5909,#29607C
FFCH5909_or,#402334
FFCH16263,#7D5A44
FFCH16767,#CCB87C
FGL7S,#B88183
Fibrobacterales,#AA5199
Fibrobacteres,#B5D6C3
Fibrobacteria,#A38469
Fibrobacterota,#9F94F0
Fimbriimonadales,#A74571
Fimbriimonadia,#B894A6
Firestonebacteria,#71BB8C
Firestonebacteria_cl,#00B433
Firestonebacteria_or,#789EC9
Firmicutes,#6D80BA
Firmicutes_unclassified,#953F00
Flavobacteriales,#5EFF03
Francisellales,#E4FFFC
Frankiales,#1BE177
FS117-23B-02,#BCB1E5
FS118-23B-02,#76912F
Fusobacteria,#003109
Fusobacteriales,#0060CD
Fusobacteriia,#D20096
Fusobacteriota,#895563
FW22,#29201D
FW113,#5B3213
FW113_cl,#A76F42
FW113_or,#89412E
Ga0077536,#1A3A2A
Gaiellales,#494B5A
GAL15,#A88C85
GAL15_cl,#F4ABAA
GAL15_or,#A3F3AB
Gammaproteobacteria,#00C6C8
Gammaproteobacteria_Incertae_Sedis,#EA8B66
Gammaproteobacteria_or,#958A9F
Gammaproteobacteria_unclassified,#BDC9D2
Gastranaerophilales,#9FA064
Geitlerinematales,#BE4700
Gemmatales,#658188
Gemmatimonadales,#83A485
Gemmatimonadetes,#453C23
Gemmatimonadota,#47675D
Gemmatimonadota_unclassified,#3A3F00
Geoarchaeales,#061203
Geobacterales,#DFFB71
GIF3,#868E7E
GIF9,#98D058
Gitt-GS-136,#6C8F7D
Gitt-GS-136_or,#D7BFC2
Gloeobacterales,#3C3E6E
Glycomycetales,#D83D66
GN01,#2F5D9B
GN01_cl,#6C5E46
GN01_or,#D25B88
GOUTB8,#5B656C
Gracilibacteria,#00B57F
Gracilibacteria_or,#545C46
Gracilibacteria_unclassified,#866097
Granulosicoccales,#365D25
Group_1.1c,#252F99
Group_1.1c_or,#00CCFF
GW2011-GWA2-46-7,#674E60
GWA2-38-13b,#FC009C
GWB1-42-6,#92896B
H3.93,#000000
Hadarchaeia,#FFFF00
Hadarchaeia_or,#1CE6FF
Hadarchaeota,#FF34FF
Hadesarchaeaeota,#FF4A46
Hadesarchaeaeota_cl,#008941
Hadesarchaeaeota_or,#006FA6
Halanaerobiaeota,#A30059
